For Emma Forever Ago,Bon Iver,http://upload.wikimedia.org/wikipedia/en/e/e0/Bon_iver_album_cover.jpg,42
I See a Darkenss,"Bonnie ""Prince"" Billy",http://upload.wikimedia.org/wikipedia/en/4/48/IseeaDarkness.jpg,43
The Record,boygenius,http://upload.wikimedia.org/wikipedia/en/2/21/Boygenius_-_the_record.jpg,44
I'm Wide Awake It's Morning,Bright Eyes,http://upload.wikimedia.org/wikipedia/en/3/36/Imwideawake.jpg,45
...Baby One More Time,Britney Spears,http://upload.wikimedia.org/wikipedia/en/9/9a/..._Baby_One_More_Time_%28album%29.png,46
Saturation III,Brockhampton,http://upload.wikimedia.org/wikipedia/en/9/93/Brockhampton_-_Saturation_III.png,47
You Forgot It in People,Broke Social Scene,http://upload.wikimedia.org/wikipedia/en/5/57/YouForgotItInPeople.jpg,48
Born to Run,Bruce Springsteen,http://upload.wikimedia.org/wikipedia/en/7/7a/Born_to_Run_%28Front_Cover%29.jpg,49
20 Golden Greats,Buddy Holly,http://upload.wikimedia.org/wikipedia/en/9/92/Depeche_Mode_-_Violator.png,50
Perfect From Now On,Built To Spill,http://upload.wikimedia.org/wikipedia/en/0/08/Perfect_From_Now_On.jpg,51
Untrue,Burial,http://upload.wikimedia.org/wikipedia/en/6/64/BurialUntrue.jpg,52
Singles Going Steady,Buzzcocks,http://upload.wikimedia.org/wikipedia/en/4/48/Buzzcocks_-_Singles_Going_Steady_LP_album_cover.jpg,53
Twin Fantasy,Car Seat Headrest,http://upload.wikimedia.org/wikipedia/en/8/81/Twin_fantasy_face_to_face.jpg,54
E.MO.TION,Carly Rae Jepsen,http://upload.wikimedia.org/wikipedia/en/d/d6/Carly_Rae_Jepsen_-_Emotion.png,55
Tapestry,Carole King,http://upload.wikimedia.org/wikipedia/en/5/52/Carole_King_-_Tapestry.jpg,56
Tea for the Tillerman,Cat Stevens,http://upload.wikimedia.org/wikipedia/en/0/0e/Tea_for_the_Tillerman.jpeg,57
Falling Into You,Celine Dion,http://upload.wikimedia.org/wikipedia/en/c/c2/Falling_into_You.png,58
The Rise and Fall of a Midwest Princess,Chappell Roan,http://upload.wikimedia.org/wikipedia/en/3/34/Chappell_Roan_-_The_Rise_and_Fall_of_a_Midwest_Princess.png,59
Brat,Charli XCX,http://upload.wikimedia.org/wikipedia/commons/6/60/Charli_XCX_-_Brat_%28album_cover%29.png,60
Bando Stone & the New World,Childish Gambino,http://upload.wikimedia.org/wikipedia/en/1/15/Childish_Gambino_-_Bando_Stone_%26_the_New_World.png,61
Diamond Jubilee,Cindy Lee,http://upload.wikimedia.org/wikipedia/en/7/70/Diamond_Jubilee_by_Cindy_Lee.jpg,62
Heaven or Las Vegas,Cocteau Twins,http://upload.wikimedia.org/wikipedia/en/6/60/Cocteau_Twins%E2%80%94Heaven_or_Las_Vegas.jpg,63
Moon Music,Coldplay,http://upload.wikimedia.org/wikipedia/en/e/e3/Coldplay_-_Moon_Music_%28Official_Album_Artwork%29.png,64
Viva la Vida or Death and All His Friends,Coldplay,http://upload.wikimedia.org/wikipedia/en/b/b2/Coldplay_-_Viva_la_Vida_or_Death_and_All_His_Friends.png,65
Sometimes I Sit and Think Sometimes I Just Sit,Courtney Barnett,http://upload.wikimedia.org/wikipedia/en/7/72/Courtney_Barnett_Sometimes_I_Think.jpg,66
Déjà Vu,Crosby Stills Nash & Young,http://upload.wikimedia.org/wikipedia/en/9/90/Crosby%2C_Stills%2C_Nash_%26_Young_-_Deja_Vu.jpg,67
Super Fly,Curtis Mayfield,http://upload.wikimedia.org/wikipedia/en/2/26/CurtisMayfieldSuperfly.jpg,68
She's So Unusual,Cyndi Lauper,http://upload.wikimedia.org/wikipedia/en/0/09/ShesSoUnusual1984.PNG,69
Voodoo,D'Angelo,http://upload.wikimedia.org/wikipedia/en/c/cc/Voodoo_UK.jpg,70
Random Access Memories,Daft Punk,http://upload.wikimedia.org/wikipedia/en/2/26/Daft_Punk_-_Random_Access_Memories.png,71
Atrocity Exhibiton,Danny Brown,http://upload.wikimedia.org/wikipedia/en/b/ba/AtrocityExhibition.jpg,72
Under the Table and Dreaming,Dave Matthews Band,http://upload.wikimedia.org/wikipedia/en/d/d3/Dave_Matthews_Band_-_Under_the_Table_and_Dreaming.jpg,73
The Rise and Fall of Ziggy Stardust and the Spiders from Mars,David Bowie,http://upload.wikimedia.org/wikipedia/en/0/01/ZiggyStardust.jpg,74
3 Feet High and Rising,De La Soul,http://upload.wikimedia.org/wikipedia/commons/7/72/De_La_Soul_-_3_Feet_High_and_Rising_Cover.jpeg,75
Sunbather,Deafheaven,http://upload.wikimedia.org/wikipedia/en/7/74/Deafheaven_-_Sunbather_2013.png,76
Transatlanticism,Death Cab For Cutie,http://upload.wikimedia.org/wikipedia/en/e/e9/Transatlanticism.jpg,77
The Money Store,Death Grips,http://upload.wikimedia.org/wikipedia/en/a/af/Death_Grips_-_The_Money_Store.jpg,78
Halcyon Digest,Deerhunter,http://upload.wikimedia.org/wikipedia/en/8/89/Halcyon_Digest_-_%28Front_Cover%29.png,79
White Pony,Deftones,http://upload.wikimedia.org/wikipedia/en/1/16/Deftones_-_White_Pony-greycoverart.jpg,80
The Writing's on the Wall,Destiny's Child,http://upload.wikimedia.org/wikipedia/en/f/f9/Destiny%27s_Child_%E2%80%93_The_Writing%27s_on_the_Wall.jpg,81
Kaputt,Destroyer,http://upload.wikimedia.org/wikipedia/en/b/b9/2011Kaputt.jpg,82
Q: Are We Not Men? A: We Are Devo!,Devo,http://upload.wikimedia.org/wikipedia/en/5/54/Are_We_Not_Men_We_Are_Devo%21.jpg,83
Brothers in Arms,Dire Straits,http://upload.wikimedia.org/wikipedia/en/6/67/DS_Brothers_in_Arms.jpg,84
Bitte Orca,Dirty Projectors,http://upload.wikimedia.org/wikipedia/en/6/69/DirtyProjectors-BitteOrca.jpg,85
Entroducing...,DJ Shadow,http://upload.wikimedia.org/wikipedia/en/c/c1/Endtroducingcover.jpg,86
Alligator Bites Never Heal,Doechii,http://upload.wikimedia.org/wikipedia/en/b/bd/Doechii_-_Alligator_Bites_Never_Heal.png,87
Coat of Many Colors,Dolly Parton,http://upload.wikimedia.org/wikipedia/en/a/ab/CoatofManyColors.jpg,88
Bad Girls,Donna Summer,http://upload.wikimedia.org/wikipedia/en/b/b7/Bad_Girls_LP.jpg,89
The Chronic,Dr. Dre,http://upload.wikimedia.org/wikipedia/en/1/19/Dr.DreTheChronic.jpg,90
Certified Lover Boy,Drake,http://upload.wikimedia.org/wikipedia/en/7/79/Drake_-_Certified_Lover_Boy.png,91
Take Care,Drake,http://upload.wikimedia.org/wikipedia/en/a/ae/Drake_-_Take_Care_cover.jpg,92
Future Nostalgia,Dua Lipa,http://upload.wikimedia.org/wikipedia/en/f/f5/Dua_Lipa_-_Future_Nostalgia_%28Official_Album_Cover%29.png,93
